scenario,system,task_completion_rate_mean,task_completion_rate_std,avg_latency_mean,avg_latency_std,error_rate_mean,error_rate_std,recovery_time_after_failure_mean,recovery_time_after_failure_std,resource_efficiency_mean,resource_efficiency_std,stability_score_mean,stability_score_std,mean_reflex_actions_mean,mean_immune_actions_mean,mean_reserve_activations_mean,mean_metabolic_rests_mean,mean_demoted_false_signals_mean,mean_nervous_fast_lane_share_mean,mean_endocrine_throttle_ratio_mean,mean_immune_replacement_ratio_mean,mean_metabolic_recovery_gain_mean
failure_storm,full_bio,0.7873338771981202,0.05797268844808108,4.3388976297611395,0.7644058616243347,0.006849074588411733,0.004790568078071268,6.5414836135939,0.9979777149579556,0.47153597210474724,0.0062458664942133535,11.611562118321293,0.17816909771191103,0.469047619047619,0.014285714285714285,0.02857142857142857,0.17380952380952383,0.12142857142857143,0.14675264550264552,0.0,0.02857142857142857,0.43933173718788243
failure_storm,no_endocrine,0.7883717524996863,0.030057186374133738,4.389296795205334,0.5818646655221742,0.004823304474237259,0.001730891515643292,6.691296773216179,0.6414376087341072,0.4909484699315374,0.011817996344628092,11.096187136243165,1.026675415779522,0.5023809523809524,0.021428571428571425,0.047619047619047616,0.19285714285714284,0.12142857142857143,0.14675264550264552,0.0,0.047619047619047616,0.4333693107909354
failure_storm,no_immune,0.6304989610788047,0.0790730777433319,5.13973656334626,1.159812616607544,0.00825984931228319,0.00483163688046858,7.773721153360602,0.2833445348050672,0.4809026530612972,0.01354888266717172,9.529723562211906,0.26819171166721417,0.24761904761904763,0.0,0.0,0.12142857142857143,0.12142857142857143,0.14675264550264552,0.0,0.0,0.33323190805198716
failure_storm,no_metabolic,0.5925922826981272,0.052797218224379217,5.158641844143161,0.37909396580592836,0.015354218610521131,0.010143641518137018,7.658877442811696,0.4228670788149003,0.47958241381654904,0.020721606814109148,9.429477312805508,0.4581556432829796,0.8214285714285715,0.06904761904761904,0.2261904761904762,0.0,0.12142857142857143,0.14675264550264552,0.00047619047619047614,0.2261904761904762,0.23544053673361498
failure_storm,no_nervous,0.7475132131252703,0.07334876792248729,5.015631062248431,1.3237002733193548,0.008405791450592011,0.008109010916543433,6.475912740493865,1.7803672550663108,0.4842047522693946,0.008768593401740521,10.734684593492368,1.2837343689160634,0.0,0.02619047619047619,0.049999999999999996,0.3976190476190476,0.12142857142857143,0.0,0.0,0.0488095238095238,0.41027754910865744
overload,full_bio,0.5177433125766906,0.027711231142520585,6.1803970739218554,2.6235402497653064,0.020851319558758075,0.004054385105642986,7.933712121212121,1.0495278437962383,0.467764639908078,0.004902526251159697,6.941232344545163,0.4174252515402084,0.5261904761904762,0.12857142857142856,0.1285714285714286,0.20714285714285716,0.16428571428571428,0.1616835545406974,0.0,0.12698412698412698,0.4678168552481156
overload,no_endocrine,0.4699149593167702,0.03326609318451252,7.958126053983695,2.264776307727578,0.02819249743919897,0.009464107975463492,8.452651515151516,0.6889853726051897,0.4457235461258,0.008474127695107626,6.384739617922267,0.4581342153593079,0.5690476190476191,0.19523809523809524,0.14047619047619045,0.18095238095238098,0.16428571428571428,0.1616835545406974,0.0,0.13392857142857142,0.4577922617270043
overload,no_immune,0.32784546690653255,0.01931875657677211,12.26637392029069,2.923649415022744,0.03257575757575758,0.015132563905634985,8.227272727272727,0.5122467122538478,0.4581829676393023,0.03668500502384719,5.044257360556641,0.0958428495756994,0.44047619047619047,0.0,0.0,0.21904761904761905,0.16428571428571428,0.1616835545406974,0.0,0.0,0.32373650200649234
overload,no_metabolic,0.37717910006389016,0.01122638733126503,13.559969289103613,2.0367574441551097,0.028323970037453183,0.00639872980267687,7.837121212121212,1.0756708778551016,0.4641501331368804,0.01980283816395685,5.287217499918241,0.05829470729701813,0.919047619047619,0.12857142857142856,0.29523809523809524,0.0,0.16428571428571428,0.1616835545406974,0.00047619047619047614,0.2892857142857143,0.22433870880619824
overload,no_nervous,0.43709688665454555,0.06478213504623216,9.350883754432624,2.8716315027984947,0.031023368251410152,0.029543928328474873,8.428030303030303,0.04592558959462935,0.45867324264774356,0.024518640029324044,5.8940554087129255,0.7884982548930515,0.0,0.1357142857142857,0.09999999999999999,0.5071428571428571,0.16428571428571428,0.0,0.0,0.09761904761904762,0.4249939438682326
